timestamp,OP_UNIQUE_CARRIER,flights,cancellations,avg_dep_delay,flights_rolling_mean,cancellations_rolling_mean,delay_rolling_mean,flights_rolling_std,cancellations_rolling_std,delay_rolling_std,cancellation_spike_flag,delay_spike_flag
2025-10-10,HA,222,1.0,12.891402714932127,215.8,0.4,11.763324730239466,5.0695167422546215,0.5477225575051661,4.792424288702071,true,false
2025-10-11,HA,211,3.0,13.711538461538462,214.8,1.0,12.584336126250863,5.4954526656136276,1.224744871391589,4.680880997017878,true,false
2025-10-12,HA,211,2.0,8.779904306220097,214.4,1.2,12.616732081834504,5.727128425310535,1.3038404810405297,4.647004966970659,false,false
2025-10-13,HA,215,0.0,12.530232558139534,215.6,1.2,13.51320921547198,4.878524367060178,1.3038404810405297,3.920874732362767,false,false
2025-10-14,HA,213,0.0,7.0,214.4,1.2,10.982615608166043,4.560701700396542,1.3038404810405297,2.9239857448604356,false,false
2025-10-15,HA,210,2.0,9.379807692307692,212.0,1.4,10.280296603641156,1.9999999999999813,1.3416407864998738,2.768484947592536,false,false
2025-10-16,HA,220,2.0,17.43577981651376,213.8,1.2,11.025144874636217,3.9623225512317775,1.0954451150103321,4.10218113350932,false,true
2025-10-17,HA,220,3.0,34.433179723502306,215.6,1.4,16.15579995809266,4.393176527297748,1.3416407864998738,10.938332168995872,true,true
2025-10-18,HA,209,2.0,20.120772946859905,214.4,1.8,17.673908035836735,5.319774431308146,1.0954451150103321,10.835606278707386,false,false
2025-10-19,HA,211,0.0,19.563981042654028,214.0,1.8,20.18670424436754,5.522680508593622,1.0954451150103321,9.051392061365714,false,false
2025-10-20,HA,215,0.0,9.716279069767442,215.0,1.4,20.253998519859486,5.04975246918103,1.3416407864998738,8.951661028080538,false,false
2025-10-21,HA,213,0.0,5.849765258215962,213.6,1.0,17.93679560819993,4.219004621945786,1.414213562373095,11.10429391241915,false,false
2025-10-22,HA,209,0.0,3.813397129186603,211.4,0.4,11.812839089336789,2.60768096208104,0.8944271909999157,7.632936061344933,false,false
2025-10-23,HA,219,0.0,16.698630136986303,213.4,0.0,11.128410527362067,3.847076812334254,0.0,6.810907218653013,false,false
2025-10-24,HA,220,0.0,19.681818181818183,215.2,0.0,11.1519779551949,4.494441010848835,0.0,6.847499252116991,false,true
2025-10-25,HA,211,0.0,13.236966824644549,214.4,0.0,11.856115506170323,4.8785243670601774,0.0,6.843973313682885,false,false
2025-10-26,HA,210,2.0,10.79326923076923,213.8,0.4,12.844816300680975,5.263078946776298,0.8944271909999157,6.073006575665725,true,false
2025-10-27,HA,216,4.0,11.366197183098592,215.2,1.2,14.355376311463374,4.54972526643092,1.7888543819998315,3.7661804253476094,true,false
2025-10-28,HA,211,0.0,13.763033175355451,213.6,1.2,13.768256919137201,4.277849927241474,1.7888543819998315,3.531039010720678,false,false
2025-10-29,HA,207,2.0,11.776699029126213,211.0,1.6,12.187233088598807,3.24037034920391,1.6733200530681507,1.2620281533168676,false,false
2025-10-30,HA,217,18.0,26.7035175879397,212.2,5.2,14.88054324125784,4.207136793592513,7.293833011524188,6.703018668782532,true,true
2025-10-31,HA,205,3.0,19.603960396039604,211.2,5.4,16.642681474311914,5.31036721894069,7.197221686178632,6.515386445091052,false,false
2025-10-01,MQ,824,0.0,5.308252427184466,,,,,,,,
2025-10-02,MQ,921,0.0,7.285559174809989,,,,,,,,
2025-10-03,MQ,830,0.0,5.8590361445783135,,,,,,,,
2025-10-04,MQ,788,0.0,5.323604060913706,,,,,,,,
2025-10-05,MQ,908,0.0,4.765418502202643,854.2,0.0,5.708374061937823,57.52564645442935,0.0,0.9627463850013201,false,false
2025-10-06,MQ,931,1.0,12.352688172043012,875.6,0.2,7.117261210909533,63.11339002145266,0.4472135954999579,3.072845590238366,true,true
2025-10-07,MQ,841,0.0,9.838287752675386,859.6,0.2,7.627806926482611,58.71371219740752,0.4472135954999579,3.310660684957028,false,false
2025-10-08,MQ,879,0.0,4.734926052332196,869.4,0.2,7.402984908033389,56.58886816327042,0.4472135954999579,3.4939011740778225,false,false
2025-10-09,MQ,940,0.0,7.248936170212766,899.8,0.2,7.788051329893202,40.45614909998233,0.4472135954999579,3.3086215867384228,false,false
2025-10-10,MQ,942,0.0,8.23036093418259,906.6,0.2,8.48103981628919,44.80290169174315,0.4472135954999579,2.848072619358262,false,false
2025-10-11,MQ,864,0.0,6.837962962962963,893.2,0.0,7.378094774473181,45.69135585644184,0.0,1.8757446727596936,false,false
2025-10-12,MQ,936,0.0,16.748931623931625,912.2,0.0,8.76022354872443,37.59255245391034,0.0,4.644413481152707,false,true
2025-10-13,MQ,938,0.0,9.347547974413645,924.0,0.0,9.682747933140718,33.61547262794322,0.0,4.067215883838364,false,false
2025-10-14,MQ,841,0.0,6.726516052318669,904.2,0.0,9.5782639095619,47.93954526275777,0.0,4.151212559689471,false,false
2025-10-15,MQ,879,3.0,11.259977194982897,891.6,0.6,10.18418716172196,43.60389890823986,1.3416407864998738,4.126313883742923,true,false
2025-10-16,MQ,940,0.0,7.164893617021277,906.8,0.6,10.249573292533622,44.80736546595885,1.3416407864998738,4.062123996718857,false,false
2025-10-17,MQ,931,0.0,6.369495166487647,905.8,0.6,8.173686001044826,44.04202538485261,1.3416407864998738,2.0778722752109378,false,false
2025-10-18,MQ,864,60.0,41.59429280397023,891.0,12.6,14.623034966956144,42.935998882057014,26.529229163320974,15.20574488056304,true,true
2025-10-19,MQ,933,3.0,12.040860215053764,909.4,13.2,15.685903799503162,35.16105800455955,26.20496136230695,14.692879858924968,false,false
2025-10-20,MQ,936,0.0,9.615384615384615,920.8,12.6,15.356985283583507,31.93274181776444,26.529229163320974,14.834455787968674,false,false
2025-10-21,MQ,845,0.0,5.402366863905326,901.8,12.6,15.004479932960317,43.734425799363144,26.529229163320974,15.096415766645878,false,false
2025-10-22,MQ,879,0.0,5.053469852104665,891.4,12.6,14.741274870083718,41.16187556465328,26.529229163320974,15.294773054741556,false,false
2025-10-23,MQ,940,0.0,8.588297872340426,906.6,0.6,8.14007588375776,42.52411080786993,1.3416407864998738,2.9417573266657615,false,false
2025-10-24,MQ,904,32.0,10.54816513761468,900.8,6.4,7.841536868269943,39.92117232747557,14.310835055998654,2.487613937711263,true,true
2025-10-25,MQ,820,28.0,17.32704402515723,877.6,12.0,9.383868750224465,47.36348804722896,16.492422502470642,4.992175488585377,false,true
2025-10-26,MQ,940,9.0,29.005370569280345,896.6,13.8,14.104469491299469,49.9979999599984,15.303594349041012,9.45274938862487,false,true
